1;41.34242;-8.548629;-0.1492017;0.7215614
2;41.16598;-8.640505;-0.1508053;0.7184819
3;41.16634;-8.640759;-0.1508097;0.7184881
4;41.1666;-8.640655;-0.1508079;0.7184927
5;41.1673;-8.640417;-0.1508037;0.718505
6;41.1683;-8.640303;-0.1508017;0.7185224
7;41.16835;-8.642045;-0.1508321;0.7185232
8;41.16822;-8.642488;-0.1508399;0.7185211
9;41.16815;-8.642709;-0.1508437;0.7185198
10;41.16774;-8.643825;-0.1508632;0.7185127
11;41.16757;-8.643861;-0.1508638;0.7185097
12;41.16728;-8.643818;-0.1508631;0.7185045
13;41.16708;-8.643689;-0.1508608;0.7185011
14;41.16685;-8.643485;-0.1508573;0.7184971
15;41.1666;-8.643475;-0.1508571;0.7184926
16;41.16631;-8.64379;-0.1508626;0.7184877
17;41.16589;-8.641699;-0.1508261;0.7184803
18;41.16693;-8.642846;-0.1508461;0.7184985
19;41.16696;-8.643142;-0.1508513;0.718499
20;41.16702;-8.64325;-0.1508532;0.7185
21;41.16728;-8.64355;-0.1508584;0.7185046
22;41.16752;-8.643572;-0.1508588;0.7185088
23;41.16766;-8.643435;-0.1508564;0.7185112
24;41.16771;-8.643175;-0.1508519;0.7185121
25;41.16768;-8.643067;-0.15085;0.7185115
26;41.16763;-8.642487;-0.1508399;0.7185107
27;41.16788;-8.642616;-0.1508421;0.718515
28;41.1681;-8.642551;-0.150841;0.7185189
29;41.16823;-8.642273;-0.1508361;0.7185212
30;41.16822;-8.641962;-0.1508307;0.7185209
31;41.16808;-8.641736;-0.1508268;0.7185186
32;41.16787;-8.641665;-0.1508255;0.7185149
33;41.16764;-8.641793;-0.1508278;0.7185109
34;41.1672;-8.641696;-0.1508261;0.7185032
